milestone_id,channel,reader_group,description,target_trilogy,target_book,target_act,target_episode_or_range,pressure_before,pressure_after,required_setups,breadcrumb_density,requires_packet,supplement_type,supplement_function,supplement_vehicle,supplement_form,status,notes
M01,,Hardcore Fantasy Nerd,First micro-Shard: the Veil is demonstrably failing and resonance becomes observable to ordinary people,T1,B01,A1,,1,2,,LOW,Y,,,,,proposed,Both drafts. Notion B1.A1.E1 lantern/Bywater flicker; export B1.A1 civic disturbance.
M02,,Casual Web-Novel Binger,Filaments become a named presence: grassroots emotional care exists as an organised thing,T1,B01,A2,,2,2,M01,LOW,Y,SLICE,,,,proposed,Notion B1.A1.E5 Filament Knot; export B1.A1 'Filament micro-introduction'.
M03,,Hardcore Fantasy Nerd,Seraphine filters a Shard pulse instinctively; first prismatic signature appears,T1,B01,A3,,2,3,M01,MED,Y,,,,,proposed,Notion B1.A3.E12 'Seraphine's Emergence'. Foreshadows M33.
M04,MT,,MT appears anonymously: an unattributed public voice begins reporting resonance,T1,B02,A1,,2,3,M01,MED,Y,LORE,,,,proposed,"Ruled 2026-09-19: MT visible ~B2, author unnamed until B4. Supersedes Notion B1.A2.E7."
M05,,Crossover Romantasy Reader,Lucien breaks from the Dominion; the structural lineage loses its heir,T1,B02,A2,,3,3,,MED,Y,POL,,,,proposed,Notion B2.A2.E9 guilt / B3.A1.E2 refusal. Sets up M33 Silence succession.
M06,,Hardcore Fantasy Nerd,The Ghostwave: mass involuntary emotional bleedthrough; the public can no longer be told nothing happened,T1,B02,A2,,3,4,"M01,M04",MED,Y,,,,,proposed,Notion B2.A2.E6. First public-scale resonance event.
M07,,Horny Housewife,Caro and Elisabet bond: the saga's steady emotional centre forms,T1,B02,A2,,3,3,,LOW,Y,,,,,proposed,Notion B2.A1.E4 and B2.A2.E10. Ruled canon 2026-09-19. See milestone-gap note.
M08,,Hardcore Fantasy Nerd,"First Rupture, the Warehouse Incident: Rupture-level events are possible; NOLA carries a permanent resonance scar",T1,B03,A3,,4,5,M06,HIGH,Y,,,,,proposed,Notion B3.A3.E11. Scar recurs at M28 (B7.A3.E12).
M09,VT,Hardcore Fantasy Nerd,The chronicler's VT slip: a mortal touches VT; Silence and Hope now know a human,T1,B03,A3,E14,4,5,M04,HIGH,Y,,,,,proposed,"Recovered packet S1.T1.B3.A3.E14, anchored 'FIRST AND ONLY VT BRUSH IN VEIL TRILOGY'. Chronicler unnamed on page."
M10,,,Baz dies,T1,B03,EP,,5,4,"M08,M09",HIGH,Y,,,,,proposed,Placement open: B3.A3 (Notion E13) or B3.EP. Ruled 2026-09-19 that the epilogue is a plausible home.
