place_id,place_name,city,mapped_type,type_status,source,notes
NOLA-01,Tremé,New Orleans,,CONTESTED_UNASSIGNED,"geography system §V; NOLA bible §III","Geography system assigns Blue Pulse; NOLA bible places it in Red Lantern Faultline. Contested — left unassigned per Ruling 1."
NOLA-02,Marigny,New Orleans,,CONTESTED_UNASSIGNED,"geography system §V; NOLA bible §III","Geography system assigns Blue Pulse; NOLA bible places it in Red Lantern Faultline. Contested — left unassigned."
NOLA-03,French Quarter,New Orleans,,CONTESTED_UNASSIGNED,"NOLA bible §II and §III","Unassigned in the geography system; NOLA bible places it in Blue Pulse Corridor. Contested — left unassigned."
NOLA-04,Bywater,New Orleans,,CONTESTED_UNASSIGNED,"geography system §V; NOLA bible §III","Geography system assigns Amber Drift; NOLA bible records Veil-era Flickers → Ghostwaves, which is shard progression, not a type. Contested — left unassigned."
NOLA-05,Central City,New Orleans,ZONE_AMBER_DRIFT,PROVISIONAL,geography system §V,Uncontested — appears in one source only.
NOLA-06,Warehouse District,New Orleans,ZONE_VIOLET_BLOOM,PROVISIONAL,"geography system §V; NOLA bible §III","Type from the geography system; ""Violet Spiral"" is the NOLA bible's NAME for the same ground. Baz's death site."
NOLA-07,Canal Street,New Orleans,ZONE_RED_FLARE,PROVISIONAL,geography system §V,Uncontested — appears in one source only.
NOLA-08,Port / Industrial,New Orleans,ZONE_SILVER_STATIC,PROVISIONAL,geography system §V,Uncontested — appears in one source only.
NOLA-09,Garden District,New Orleans,,UNASSIGNED_NO_TYPE_IN_SOURCE,NOLA bible §II,"Named place with no type assignment in any source. Not contested — simply unmapped."
NOLA-10,Uptown,New Orleans,,UNASSIGNED_NO_TYPE_IN_SOURCE,NOLA bible §II,Named place with no type assignment in any source.
NOLA-11,Honey Island Swamp,New Orleans (adjacent),,UNASSIGNED_NO_TYPE_IN_SOURCE,"NOLA bible §II; geography system §V",Mending site. No zone/corridor type assigned in any source.
NOLA-12,The Atchafalaya Pass,New Orleans,CORR_UNCLASSED,PROVISIONAL,geography system §V,Named Loom corridor; the source does not state which of the four classes it belongs to.
NOLA-13,The Three-Lantern Corridor,New Orleans,CORR_UNCLASSED,PROVISIONAL,geography system §V,"Tremé → River. Named Loom corridor; class not stated in source."
NOLA-14,The Honey Island Approach,New Orleans,CORR_UNCLASSED,PROVISIONAL,geography system §V,Named Loom corridor; class not stated in source.
NOLA-15,River Corridor,New Orleans,CORR_UNCLASSED,PROVISIONAL,NOLA bible §II,"Crescent Park → Convention Center. Ordinary corridor instance — correct usage under Ruling 2."
NOLA-16,Blue Pulse Corridor,New Orleans,,PENDING_GEOMETRY_TEST,NOLA bible §III,"Convention Center → Riverwalk → French Quarter. Ruling 2 geometry test: linear and connective → corridor; pocket → zone and the word comes off the name. Also touches contested ground (French Quarter)."
NOLA-17,Red Lantern Faultline,New Orleans,,CONTESTED_UNASSIGNED,NOLA bible §III,"Tremé → Esplanade → Marigny. A NAME, not a type (Ruling 1). Spans contested ground."
NOLA-18,Violet Spiral,New Orleans,ZONE_VIOLET_BLOOM,PROVISIONAL,NOLA bible §III,"A NAME for the Warehouse District, mapping onto the Violet Bloom type. Same ground as NOLA-06."
VIE-01,Ringstrasse,Vienna,ZONE_AMBER_DRIFT,PROVISIONAL,geography system §V,Uncontested — appears in one source only.
VIE-02,Museum Quarter,Vienna,ZONE_BLUE_PULSE,PROVISIONAL,geography system §V,Uncontested — appears in one source only.
VIE-03,Archive Faultline Corridor,Vienna,CORR_UNCLASSED,PROVISIONAL,geography system §V,Named Loom corridor; class not stated in source.
SIN-01,Technarc towers district,Singapore,ZONE_SILVER_STATIC,PROVISIONAL,geography system §V,"Source reads ""Silver Static around Technarch towers""; faction spelling corrected to Technarc per decisions §6.4."
SIN-02,Neon Spine Transit Corridor,Singapore,CORR_UNCLASSED,PROVISIONAL,geography system §V,Named Loom corridor; class not stated in source.
REY-01,Þingholt,Reykjavík,,UNASSIGNED_NO_TYPE_IN_SOURCE,Reykjavík bible §2A,"Elisabet's childhood district. Grandmother's house becomes an Echo Node post-Mending."
REY-02,Harpa & Old Harbor,Reykjavík,,UNASSIGNED_NO_TYPE_IN_SOURCE,Reykjavík bible §2B,Glass becomes a resonance prism in Neon; Filament safe-checkpoint in Loom.
REY-03,Laugavegur Corridor,Reykjavík,CORR_UNCLASSED,PROVISIONAL,Reykjavík bible §2C,Ordinary corridor instance — correct usage under Ruling 2.
REY-04,Hallgrímskirkja Uplands,Reykjavík,,UNASSIGNED_NO_TYPE_IN_SOURCE,Reykjavík bible §2D,High-ground resonance detection zone.
REY-05,Geothermal Outskirts / Reykjanes,Reykjavík,,UNASSIGNED_NO_TYPE_IN_SOURCE,Reykjavík bible §2E,Natural resonance stabilizer; Loom stronghold.
REY-06,Clarity Channel,Reykjavík,CORR_UNCLASSED,PROVISIONAL,geography system §V,"Geothermal fields. Named Loom corridor; class not stated in source."
MAR-01,Prism Convergence,Marrakesh,,UNASSIGNED_NO_TYPE_IN_SOURCE,geography system §V,"Market. Source names it as the Neon form but states no zone type."
MAR-02,Luminous Diagonal Corridor,Marrakesh,CORR_UNCLASSED,PROVISIONAL,geography system §V,Named Loom corridor; class not stated in source.
