name,bundle,manifest_section,status,reason,note
Manufactured-meta population,D,5. TECHNARC / REX ECOSYSTEM,HOLD FOR MECHANICA + MANUFACTURED-META SPECIFIC REVIEW.,HOLD carve-out stands under Ruling 3; NOT promoted by this migration.,
Arden Kess / LX-5,D,5. TECHNARC / REX ECOSYSTEM,HOLD.,HOLD carve-out stands under Ruling 3; NOT promoted by this migration.,
Lila Shore,F,7. MEDIA / PUBLIC VOICES,HOLD/NARROW.,HOLD carve-out stands under Ruling 3; NOT promoted by this migration.,younger independent/student journalism only if Neon beats earn relationship.
Nix & Rio,I,9. GLOBAL UTILITY / HOLD POPULATION,HOLD / RECOVERY CANDIDATES.,HOLD carve-out stands under Ruling 3; NOT promoted by this migration.,
Ayo Mensah,I,9. GLOBAL UTILITY / HOLD POPULATION,HOLD FOR POST-MENDING / ECHO-NODE PASS.,HOLD carve-out stands under Ruling 3; NOT promoted by this migration.,
Nayana Iyer,I,9. GLOBAL UTILITY / HOLD POPULATION,DEMOTE / LOCAL.,HOLD carve-out stands under Ruling 3; NOT promoted by this migration.,
Hadia Noureen,I,9. GLOBAL UTILITY / HOLD POPULATION,DEMOTE / LOCAL.,HOLD carve-out stands under Ruling 3; NOT promoted by this migration.,
Samuel “Sam” Broussard,I,9. GLOBAL UTILITY / HOLD POPULATION,DEMOTE / LOCAL CIVILIAN.,HOLD carve-out stands under Ruling 3; NOT promoted by this migration.,
Marienne St. Clair,I,9. GLOBAL UTILITY / HOLD POPULATION,DEMOTE / LOCAL.,HOLD carve-out stands under Ruling 3; NOT promoted by this migration.,
TERMINAL WITNESS,I,10. TERMINAL WITNESS — UNRESOLVED RECOVERY ITEM,RECOVER MORE / DO NOT PROMOTE.,"Unresolved recovery item, Tier E evidence; author instruction 2026-09-19: Terminal Witness stays RECOVER MORE.",ordinary shipping-terminal worker connected to early Seraphine anomaly/healing event.; Historical name: “Mara Nichols”; temporary recovery label TERMINAL WITNESS.; Tier E recollection / insufficient source-level corroboration.; Ramon Espina only if source later proves infrastructure-witness compatibility.
