alias,disposition,bundle,manifest_section,approval,source_line
Mira Tremeaux,RETIRE; functions split among Mara/Arianna/Ren/local Reykjavík.,A,2. FILAMENT / COMMUNITY RECURRING,bundle A approved (Ruling 3),Mira Tremeaux — RETIRE; functions split among Mara/Arianna/Ren/local Reykjavík.
Malik Price,MERGE Ren.,A,2. FILAMENT / COMMUNITY RECURRING,bundle A approved (Ruling 3),Malik Price — MERGE Ren.
Domenico “Dome” Reyes,MERGE Ren.,A,2. FILAMENT / COMMUNITY RECURRING,bundle A approved (Ruling 3),Domenico “Dome” Reyes — MERGE Ren.
Ringo Marcel,rebuilt as Ren Bellande.,A,2. FILAMENT / COMMUNITY RECURRING,bundle A approved (Ruling 3),Ringo Marcel — rebuilt as Ren Bellande.
Lila Carter/Sparrow,MERGE Jae.,A,2. FILAMENT / COMMUNITY RECURRING,bundle A approved (Ruling 3),Lila Carter/Sparrow — MERGE Jae.
Jas Holcomb,MERGE Nara.,A,2. FILAMENT / COMMUNITY RECURRING,bundle A approved (Ruling 3),Jas Holcomb — MERGE Nara.
Miss Tilda “Lantern” Baptiste,MERGE selected material Arianna.,A,2. FILAMENT / COMMUNITY RECURRING,bundle A approved (Ruling 3),Miss Tilda “Lantern” Baptiste — MERGE selected material Arianna.
Mère Céleste Boudreaux,MERGE selected material Arianna.,A,2. FILAMENT / COMMUNITY RECURRING,bundle A approved (Ruling 3),Mère Céleste Boudreaux — MERGE selected material Arianna.
Severin Virelli,RETIRE/MERGE/DEMOTE according to scene.,C,4. DOMINION / LUCIEN ECOSYSTEM,bundle C approved (Ruling 3),"Severin Virelli, Arel Tovin, Sigrun Dahl, Sabir Vollen, Nadia Verenz, Eryk Sorensen: RETIRE/MERGE/DEMOTE according to scene."
Arel Tovin,RETIRE/MERGE/DEMOTE according to scene.,C,4. DOMINION / LUCIEN ECOSYSTEM,bundle C approved (Ruling 3),"Severin Virelli, Arel Tovin, Sigrun Dahl, Sabir Vollen, Nadia Verenz, Eryk Sorensen: RETIRE/MERGE/DEMOTE according to scene."
