milestone_id,channel,reader_group,description,target_trilogy,target_book,target_act,target_episode_or_range,thread,thread_pressure_before,thread_pressure_after,required_setups,breadcrumb_density,requires_packet,supplement_type,supplement_function,supplement_vehicle,supplement_form,status,notes
M01,,Hardcore Fantasy Nerd,First bounded public anomaly in Book 1 makes the local pattern worth investigating; whether its ordinary observations share one Resonance cause remains open,T1,B01,A1,,UNSCORED,1,2,,LOW,Y,,,,,proposed,"[REVISE | REVIEW] OVL; REV; B01 v4.1b (no micro-Shard, low amplitude). Was: Both drafts. Notion B1.A1.E1 lantern/Bywater flicker; export B1.A1 civic disturbance."
M02,,Casual Web-Novel Binger,"Filaments become recognizable through human-scale recurring care and coordination, without a recruitment or organization-chart reveal",T1,B01,A2,,filaments,2,2,,LOW,Y,SLICE,,,,proposed,[REVISE | REVIEW] OVL; REV. Open: First on-page naming. Was: Notion B1.A1.E5 Filament Knot; export B1.A1 'Filament micro-introduction'.
M03,,Hardcore Fantasy Nerd,"Seraphine learns to time and constrain a response to bounded pressure, at visible cost; no Book 1 Shard filtration or prismatic debut",T1,B01,A3,,seraphine,2,3,,MED,Y,,,,,proposed,[HOLD | REVIEW] OVL; REV; B01 v4.1b ceiling. Open: Whether B01 needs any Loom foreshadow beyond restraint and cost. Was: Notion B1.A3.E12 'Seraphine's Emergence'. Foreshadows M33.
M04,MT,,An anonymous MissingThread voice begins reporting anomalies through ordinary mortal media,T1,B02,A1,,mt,2,3,M01,MED,Y,LORE,,,,proposed,"[REVISE | REVIEW] OVL; REV; channel ruling 09-19 (MT visible ~B2, unnamed until the B03 epilogue). Setup types: M01:informational. Open: First actual post. Was: Ruled 2026-09-19: MT visible ~B2, author unnamed until B4. Supersedes Notion B1.A2.E7."
M05,,Crossover Romantasy Reader,"Across B02-B04, Lucien moves from recognizing Dominion's containment logic, to refusing its return demand, to returning to Vienna on his own terms after Baz's death and making an irreversible choice that separates structure and care from Dominion obedience",T2,B04,A2,,dominion,3,3,M10,MED,Y,POL,,,,proposed,"[AUTHOR CLARIFICATION 2026-09-26] Status proposed: the B04 Vienna return is the PREFERRED CURRENT DESIGN DIRECTION, not recovered canon or a ruling, until explicitly locked. target_trilogy corrected from the invalid 'T1-T2' to T2 (target_book B04); the arc spans B02-B04. ChatGPT promotion note: [REVISE | AUTHOR-APPROVED 2026-09-26] Culminates in B04 Vienna. Return is voluntary, not acceptance of Dominion reassignment. B02 knowledge and B03 refusal are progression, not separate hard milestone dependencies. M33 dependency remains character/thematic."
M06,,Hardcore Fantasy Nerd,"A Ghostwave or pulse cluster becomes publicly observable in B02, with bounded witnesses, medium and aftermath",T1,B02,A2,,UNSCORED,3,4,"M01,M04",MED,Y,,,,,proposed,[HOLD | REVIEW] OVL; REV. Setup types: M01:thematic; M04:informational. Open: Survival as a named event (lean 3 is about Neon only). Was: Notion B2.A2.E6. First public-scale resonance event.
M07,,Horny Housewife,Caro and Elisabet's bond deepens from B01 recognition and instinctive safety into a durable relationship coordinate,T1,B02,A2,,caro_elisabet,3,3,,LOW,Y,,,,,proposed,[KEEP | REVIEW] OVL; REV; ruled canon 2026-09-19. Open: Exact B02 rung. Was: Notion B2.A1.E4 and B2.A2.E10. Ruled canon 2026-09-19. See milestone-gap note.
M11,MT,,"Tahl anonymously posts the coordinates of the event Baz is investigating, not knowing Baz is there",T1,B03,A3,,UNSCORED,4,4,M04,HIGH,Y,,,,,ruled,"[REVISE | RULED] GATE #2 (coordinates, RULED); WH #2 (did not know, RULED); WH #1 (staging: supplemental text or effect-only). Setup types: M04:character. Open: Staging (two options); platform and audience; the crowd-and-delay consequence is the author's hypothesis ('perhaps'). Was: Ruled 2026-09-19. In neither draft; the saga's moral engine. Paid off at M12."
M08,,Hardcore Fantasy Nerd,The Warehouse Rupture: partial structural collapse as Baz rescues a child; any durable New Orleans scar is measured separately,T1,B03,A3,,UNSCORED,4,5,"M06,M11",HIGH,Y,,,,,proposed,"[REVISE | REVIEW] OVL; REV; Warehouse card pass 1; WH (Dominion expected at the perimeter, Technarc not: DELEGATED working assumption). Setup types: M06:thematic; M11:chronological. Open: 'First' Rupture comparison; scar duration; D5 holds the physics. Was: Notion B3.A3.E11. Scar recurs at M28 (B7.A3.E12)."
M09,VT,Hardcore Fantasy Nerd,"Tahl's first and only Veil-era VeilThread brush: accidental, private and costly; mortal devices do not reach VT",T1,B03,A3,,silence_hope,4,5,M04,HIGH,Y,,,,,proposed,"[REVISE | REVIEW] OVL; REV. Setup types: M04:character. Open: Placement in late B03 (the E14 packet slot is not approved). Was: Recovered packet S1.T1.B03.A3.E14, anchored 'FIRST AND ONLY VT BRUSH IN VEIL TRILOGY'. Chronicler unnamed on page."
