place_id,place_name,city,mapped_type,type_status,source,notes
NOLA-01,Tremé,New Orleans,ZONE_BLUE_PULSE,PROVISIONAL_DERIVED,geography system §V; NOLA bible §III,"R8. Not a conflict once Ruling 1 is applied: the geography system assigns the TYPE (Blue Pulse); 'Red Lantern Faultline' is a NAME, which NOLA-17's own source note states. The two sources speak on different axes. Named-place membership: Red Lantern Faultline. || WAS: Geography system assigns Blue Pulse; NOLA bible places it in Red Lantern Faultline. Contested — left unassigned per Ruling 1."
NOLA-02,Marigny,New Orleans,ZONE_BLUE_PULSE,PROVISIONAL_DERIVED,geography system §V; NOLA bible §III,"R8. Same as NOLA-01: geography system gives the type, the faultline is a name. Named-place membership: Red Lantern Faultline. || WAS: Geography system assigns Blue Pulse; NOLA bible places it in Red Lantern Faultline. Contested — left unassigned."
NOLA-03,French Quarter,New Orleans,ZONE_BLUE_PULSE,PROVISIONAL_INFERRED_FROM_NAME,NOLA bible §II and §III,"R8. WEAKER BASIS than the rows above, and marked so. The geography system assigns the French Quarter nothing; the only source statement is NOLA bible membership of the named 'Blue Pulse Corridor'. Deriving a type from a name is the move Ruling 1 warns against, so this is provisional on the weakest evidence in the table and is the first row to revisit when the narrative pass reaches it. || WAS: Unassigned in the geography system; NOLA bible places it in Blue Pulse Corridor. Contested — left unassigned."
NOLA-04,Bywater,New Orleans,ZONE_AMBER_DRIFT,PROVISIONAL_DERIVED,geography system §V; NOLA bible §III,"R8. Not a conflict once Ruling 1 is applied: the geography system assigns the TYPE (Amber Drift); the bible's Flickers -> Ghostwaves is SHARD PROGRESSION, a severity scale layered over places, which Ruling 1 states is not a spatial taxonomy. Severity note retained, type taken from the geography system. || WAS: Geography system assigns Amber Drift; NOLA bible records Veil-era Flickers → Ghostwaves, which is shard progression, not a type. Contested — left unassigned."
NOLA-05,Central City,New Orleans,ZONE_AMBER_DRIFT,PROVISIONAL,geography system §V,Uncontested — appears in one source only.
NOLA-06,Warehouse District,New Orleans,ZONE_VIOLET_BLOOM,PROVISIONAL,geography system §V; NOLA bible §III,"Type from the geography system; ""Violet Spiral"" is the NOLA bible's NAME for the same ground. Baz's death site."
NOLA-07,Canal Street,New Orleans,ZONE_RED_FLARE,PROVISIONAL,geography system §V,Uncontested — appears in one source only.
NOLA-08,Port / Industrial,New Orleans,ZONE_SILVER_STATIC,PROVISIONAL,geography system §V,Uncontested — appears in one source only.
NOLA-09,Garden District,New Orleans,,UNASSIGNED_NO_TYPE_IN_SOURCE,NOLA bible §II,"R8 NOT APPLIED: no source states a type for this place at all. R8 authorises deriving CONTESTED assignments, where two sources speak; here none does. Deriving from nothing would be invention, not derivation. || Named place with no type assignment in any source. Not contested — simply unmapped."
NOLA-10,Uptown,New Orleans,,UNASSIGNED_NO_TYPE_IN_SOURCE,NOLA bible §II,"R8 NOT APPLIED: no source states a type for this place at all. R8 authorises deriving CONTESTED assignments, where two sources speak; here none does. Deriving from nothing would be invention, not derivation. || Named place with no type assignment in any source."
NOLA-11,Honey Island Swamp,New Orleans (adjacent),,UNASSIGNED_NO_TYPE_IN_SOURCE,NOLA bible §II; geography system §V,"R8 NOT APPLIED: no source states a type for this place at all. R8 authorises deriving CONTESTED assignments, where two sources speak; here none does. Deriving from nothing would be invention, not derivation. || Mending site. No zone/corridor type assigned in any source."
NOLA-12,The Atchafalaya Pass,New Orleans,CORR_UNCLASSED,PROVISIONAL,geography system §V,Named Loom corridor; the source does not state which of the four classes it belongs to.
NOLA-13,The Three-Lantern Corridor,New Orleans,CORR_UNCLASSED,PROVISIONAL,geography system §V,Tremé → River. Named Loom corridor; class not stated in source.
NOLA-14,The Honey Island Approach,New Orleans,CORR_UNCLASSED,PROVISIONAL,geography system §V,Named Loom corridor; class not stated in source.
NOLA-15,River Corridor,New Orleans,CORR_UNCLASSED,PROVISIONAL,NOLA bible §II,Crescent Park → Convention Center. Ordinary corridor instance — correct usage under Ruling 2.
NOLA-16,Blue Pulse Corridor,New Orleans,CORR_UNCLASSED,PROVISIONAL_DERIVED,NOLA bible §III,"R8 + Ruling 2 geometry test, already recorded in the source note: Convention Center -> Riverwalk -> French Quarter is linear and connective, therefore a corridor. The source states no class, so CORR_UNCLASSED, the holding token that exists for exactly this. || WAS: Convention Center → Riverwalk → French Quarter. Ruling 2 geometry test: linear and connective → corridor; pocket → zone and the word comes off the name. Also touches contested ground (French Quarter)."
NOLA-17,Red Lantern Faultline,New Orleans,CORR_UNCLASSED,PROVISIONAL_DERIVED,NOLA bible §III,"R8 + Ruling 2 geometry test: Tremé -> Esplanade -> Marigny is linear and connective, therefore a corridor. A NAME, not a type, per its own source note; the corridor CLASS is unstated, so CORR_UNCLASSED. || WAS: Tremé → Esplanade → Marigny. A NAME, not a type (Ruling 1). Spans contested ground."
NOLA-18,Violet Spiral,New Orleans,ZONE_VIOLET_BLOOM,PROVISIONAL,NOLA bible §III,"A NAME for the Warehouse District, mapping onto the Violet Bloom type. Same ground as NOLA-06."
VIE-01,Ringstrasse,Vienna,ZONE_AMBER_DRIFT,PROVISIONAL,geography system §V,Uncontested — appears in one source only.
VIE-02,Museum Quarter,Vienna,ZONE_BLUE_PULSE,PROVISIONAL,geography system §V,Uncontested — appears in one source only.
VIE-03,Archive Faultline Corridor,Vienna,CORR_UNCLASSED,PROVISIONAL,geography system §V,Named Loom corridor; class not stated in source.
SIN-01,Technarc towers district,Singapore,ZONE_SILVER_STATIC,PROVISIONAL,geography system §V,"Source reads ""Silver Static around Technarch towers""; faction spelling corrected to Technarc per decisions §6.4."
SIN-02,Neon Spine Transit Corridor,Singapore,CORR_UNCLASSED,PROVISIONAL,geography system §V,Named Loom corridor; class not stated in source.
REY-01,Þingholt,Reykjavík,,UNASSIGNED_NO_TYPE_IN_SOURCE,Reykjavík bible §2A,"R8 NOT APPLIED: no source states a type for this place at all. R8 authorises deriving CONTESTED assignments, where two sources speak; here none does. Deriving from nothing would be invention, not derivation. || Elisabet's childhood district. Grandmother's house becomes an Echo Node post-Mending."
REY-02,Harpa & Old Harbor,Reykjavík,,UNASSIGNED_NO_TYPE_IN_SOURCE,Reykjavík bible §2B,"R8 NOT APPLIED: no source states a type for this place at all. R8 authorises deriving CONTESTED assignments, where two sources speak; here none does. Deriving from nothing would be invention, not derivation. || Glass becomes a resonance prism in Neon; Filament safe-checkpoint in Loom."
